Pillar,Context,Focus,Support provided
"Pillar 1a:
Agriculture","One of Africa’s primary economic sectors,
largely populated by smallholder producers
with limited capacity.","Drive natural
resource led
industrialisation.","■ (cid:57)alue chain co-ordination
and value addition.
■ Market access.
■ Capacity building"
"Pillar 1b:
Extractives","One of Africa’s primary economic sectors,
fragmented and sub-scale and challenged b(cid:92)
deficiencies in market structures(cid:17)",,
"Pillar 2
Manufacturing
& Logistics","Value addition of Africa’s resources will drive
wealth transformation and create the resultant
demand complementarities that will deepen
and broaden African value chains.","Support value added
ecosystems.","■ Scaling value chain
anchors and enhancing
linkages.
■ Facilitating manufacturing
hubs."
,"Clustering of manufacturing and services
will drive regional economies of scale and
competitive advantages.",,
"Pillar 3
Trade and
Investment","(cid:36)frican countries have significant (cid:83)otential to
complement each other, and regional trade
will underpin a coordinated and integrated
Africa.","Stimulate intra-
continental trade.","■ Trade missions and
conducive policies.
■ Champion foreign direct
investment.
■ Access to markets and
factors of production."
,"Wealth transformation of Africa will require
significant investment, technological advances,
and specialised skills.",,
"Pillar 4
MSMEs","(cid:48)S(cid:48)Es and the informal sector are significant
contributors to African economies.","Catalyse
entrepreneurship.","■ Link MSMEs to formal
value chains.
■ Capacity Building."
,"African MSMEs disenfranchised due to
fragmented and disorganised value chains",,
"Pillar 5
Social and
environmental
transformation","African households and businesses
productivity levels remain low due to economic
and social constraints.","Champion social
transformation.","■ Capacity Building and
Financial Inclusion.
■ Community Support.
■ Develop sustainable and
resilient value chains."
,"As the world looks towards a more sustainable
future, households and businesses will need
to adapt and mitigate risks associated with
climate change.",,
,"Many African households continue to
be marginalised when it comes to basic
necessities adversely impacting productivity.",,
"Pillar 6
(cid:55)echnolog(cid:92)-
enabled
ecosystems","Technology is a key enabler connecting
households, businesses and individuals to
critical services cost effectively and with
expansive reach.","Use technology for
reach and ease of
access","■ Technology investment
■ Technology empowerment"
