Pillar,Conduct risk outcome,Corresponding banking sector charter pillar
1. Culture,"Our culture places customer interests at the heart of
our strategy, planning, decision-making and judgments.",� Ethical culture
2. Customer Strategy,"Our strategy is to develop long-term banking
relationships with our customers by providing
products that meet their needs and do not cause them
detriment.",� Customer-centric business model
3. Market Integrity,"We do not disadvantage or exploit customers, customer
segments or markets. We do not distort market
competition.",� Ethical culture
"4. Proactive
management","We proactively identify conduct risks and intervene
before they crystallise by managing, escalating and
mitigating them promptly.","� Enhanced transparency and information
disclosure"
5. Product Design,"Our products and distribution channels are designed,
monitored and managed to provide value, accessibility
and to meet the needs of our customers.","� Customer-centric business model
� Risk-based credit pricing"
6. Sales Practices,"We provide products that meet our customers’
expectations and perform as represented. Our
representations are accurate and comprehensible
so our customers understand the products they are
purchasing.",� Customer-centric business model
7. Customer Treatment,"We address any customer detriment and dissatisfaction
in a timely and fair manner.","� Customer-centric business model
� Ethical culture"
8. Data Privacy,We safeguard the privacy of Personal Data,"� Enhanced transparency and information
disclosure"
9. Market Abuse,We promote and facilitate market integrity.,� Ethical culture
10. Reputation,We uphold the reputation of Absa,� Ethical culture
