Fulfilment cash flows (FCF),"Fulfilment cash flows which comprise:
• Estimates of expected future cash flows (inflows and outflows) over the life of the
contract. The cash flows include insurance acquisition cash flows,
• An adjustment to reflect the time value of money - i.e. discounting - and the financial
risks related to the expected cash flows, and
• An explicit risk adjustment that reflects the compensation that the entity requires
for bearing the uncertainty about the amount and timing of cash flows that arise
from non-financial risk. This is also referred to as a risk adjustment."
In-force,"A policy is in-force from its start date until the date it is derecognised. In-force
business refers to policies which are active, i.e., where the benefits are still payable or
potentially payable to the policyholder at some future date."
Insurance contract,"A contract under which one party (the insurer) accepts significant insurance risk from
another party (policyholder) by agreeing to compensate the policyholder if a specified
uncertain future event (the insured event) adversely affects the policyholder"
Investment contract,"A contract, which contains significant financial risk and may also contain insignificant
insurance risk, but does not meet the definition of an insurance contract."
Investment component,"The amount that an insurance contract requires the insurer to repay to a policyholder
in all circumstances, regardless of whether an insured event occurs."
Investment guarantee,"An undertaking to give a minimum investment return for a period up to an agreed
future date or dates provided within a contract of insurance or investment."
Investment-linked policy,"A policy where benefits are dependent on the investment return on a portfolio of
assets."
Liberty,Liberty Kenya Holdings Plc and its subsidiaries.
Life insurance,"An arrangement where an insurer, in return for one or more premiums, undertakes
to pay a benefit or benefits on the happening of a life, health, disability or death
event. A health event is an event giving rise to a change in the insured’s health status
and does not cover medical expenses incurred, which are covered by medical expense
cover in general insurance. This term is used interchangeably with ""Long-term
insurance"" ."
Long-term insurance,"Refer to the definition of ""Life insurance""."
Loss component,"A negative CSM is not allowed for insurance contracts. The loss component
determines the amounts that are presented in profit or loss as reversals of losses on
onerous groups and are consequently excluded from the determination of insurance
revenue."
Non-life insurance,"Refer to the definition of ""General insurance""."
Persistency,"Persistency measures the proportion of policies that are not surrendered, transferred
or lapsed. It is an important measure of an insurer's retention of its business."
Policyholder contracts,"Includes both IFRS 17 insurance contracts and IFRS 9 policyholder investment
contracts."
Reinsurance,"Insurance or investment risk that is ceded to another insurer (reinsurer) by an insurer
in return for premiums. The obligation to the policyholder remains with the entity
which issued the original insurance contract."
