Column,B,"BOARD OPERATIONS and
CONTROL",Column,Column,Column
M,B.1,"Has the Board established a
Nomination Committee comprised
mainly of independent and
non-executive Board members?","2.1.2,
2.2.2",FA,"Yes. The membership is
confirmed in the Board minutes
which record the appointment of
members. The membership
comprises two independent
Non-Executive Directors (NEDs)
and one NED."
M,B.2,"Is the chairperson of the
Nomination Committee an
independent director?",2.2.3,FA,"Yes. The Chairman is also the
Board Chairman."
M,B.3,"Has the Board adopted and
published procedures for
nomination and appointment of
new Board members?","2.1.1, 2.1.7",FA,"These are contained in the
Nominations Committee
Mandate and in the Company's
Articles of Association."
M,B.4,"Is the Board size adequate for the
exercise of the company business?",2.1.4,FA,"Yes, there are currently nine
directors above minimum
number stipulated in the
Company's Articles of
Association."
,,,"2.1.2,
2.1.3,
2.1.5, 2.5.1",,
M,B.6,"Do the Board members represent
a mix of skills, experience,
business knowledge and
independence to enable the
discharge of their duties?",2.2.1,FA,"Yes. This has been indicated in
the director profiles contained in
the Annual Report."
M,B.7,"Has the Board adopted and
applied a policy limiting the
number of Board positions each
Board member may hold at any
one time?",2.1.6,FA,"This is stipulated in the Board
Mandate under the section on
conflict of interest, which requires
directors to disclose multiple
directorships and to ensure that
these do not conflict with their
role."
M,B.8,"Have any Alternate Board
members been appointed? If so,
have the Alternate Director/s been
appointed according to regulation
and Code requirements?","2.1.6, 2.1.7",FA,"There are no alternate directors
appointed"
M,B.9,"Are independent directors at least
one-third of the total number of
Board members?","1.1.2, 2.1.3,
2.4.1",FA,"Five of the nine directors in 2017
are independent non-executive
directors."
A or E,B.10,"Does the Board have policies and
procedures to annually assess the
independence of independent
Board members?",,,
M,B.11,"Do all independent Board
members have a tenure of less
than 9 years?",2.4.2,FA,"Yes and this stipulated in the
Board Mandate."
M,B.12,"Is the Board comprised of a
majority of non-executive Board
members?",2.1.3,FA,"Yes. Eight of the nine directors in
2017 are non-executive directors."
M,B.13,"How does the Board ensure a
smooth transition of Board
members?",2.1.8,FA,"By ensuring an adequate
composition of the Board and
that no more than a third of
directors retire by rotation at one
time. This is contained in the
Company's Articles of
Association."
